Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.12     0.00     2042     0.00     0.00  GlobalDataQueue::PrometheusLuaUserValueInc(unsigned char)
  0.00      0.12     0.00     1836     0.00     0.00  std::__cxx11::_List_base<std::unique_ptr<PrcsdToUsrCmd, std::default_delete<PrcsdToUsrCmd> >, std::allocator<std::unique_ptr<PrcsdToUsrCmd, std::default_delete<PrcsdToUsrCmd> > > >::_M_clear()
  0.00      0.12     0.00     1820     0.00     0.00  safe_stoi(char const*, int&)
  0.00      0.12     0.00     1742     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::resize(unsigned long, char)
  0.00      0.12     0.00     1736     0.00     0.00  GlobalDataQueue::AddDataToQueue(GlobalDataQueue::GlobalQueue&, char const*, unsigned long)
  0.00      0.12     0.00     1640     0.00     0.00  DeFloodCheckForFlood(User*, unsigned char, short, unsigned short&, unsigned long&, short, unsigned int, char const*)
  0.00      0.12     0.00     1587     0.00     0.00  PXLog::NotifyScriptLog(unsigned long)
  0.00      0.12     0.00     1517     0.00     0.00  void spdlog::logger::log_<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, unsigned int&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(spdlog::source_loc, spdlog::level::level_enum, fmt::v10::basic_string_view<char>, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, unsigned int&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.12     0.00     1472     0.00     0.00  std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::pair<char const (&) [6], char const (&) [13]>(char const (&) [6], char const (&) [13])
  0.00      0.12     0.00     1330     0.00     0.00  TextConverter::CheckUtf8AndConvert(char const*, unsigned char, char*, unsigned char)
  0.00      0.12     0.00     1317     0.00     0.00  CDBManager::~CDBManager()
  0.00      0.12     0.00     1266     0.00     0.00  SnprintfAppend(char*, int&, unsigned long, char const*, ...)
  0.00      0.12     0.00     1263     0.00     0.00  ScriptPushUserExtended(lua_State*, User*, int)
  0.00      0.12     0.00     1108     0.00     0.00  std::__cxx11::_List_base<std::unique_ptr<GlobalDataQueue::SingleDataItem, std::default_delete<GlobalDataQueue::SingleDataItem> >, std::allocator<std::unique_ptr<GlobalDataQueue::SingleDataItem, std::default_delete<GlobalDataQueue::SingleDataItem> > > >::_M_clear()
  0.00      0.12     0.00     1104     0.00     0.00  User::SendFormat(char const*, bool, char const*, ...)
  0.00      0.12     0.00     1075     0.00     0.00  DcCommands::ProcessCmds(User*)
  0.00      0.12     0.00     1047     0.00     0.00  User::AddPrcsdCmd(unsigned char, char const*, unsigned long, User*, bool)
  0.00      0.12     0.00      886     0.00     0.00  GlobalDataQueue::AddQueueItem(char const*, unsigned long, char const*, unsigned long, unsigned char)
  0.00      0.12     0.00      886     0.00     0.00  GlobalDataQueue::CreateQueueItem(char const*, unsigned long, char const*, unsigned long, unsigned char)
  0.00      0.12     0.00      886     0.00     0.00  GlobalDataQueue::DestroyQueueItem(GlobalDataQueue::QueueItem*)
  0.00      0.12     0.00      870     0.00     0.00  GlobalDataQueue::PrometheusUsersGauge(double)
  0.00      0.12     0.00      828     0.00     0.00  GlobalDataQueue::SingleItemStore(char const*, unsigned long, User*, int, unsigned char)
  0.00      0.12     0.00      826     0.00     0.00  Users::Add2ExtJSON(User const*)
  0.00      0.12     0.00      816     0.00     0.00  IpP2Country::GetCountry(unsigned char, bool)
  0.00      0.12     0.00      808     0.00     0.00  User::SendCompressedOrPlain(char const*, unsigned int, std::vector<char, std::allocator<char> >&, unsigned int&)
  0.00      0.12     0.00      803     0.00     0.00  GlobalDataQueue::PrometheusLuaUserDataInc(unsigned char)
  0.00      0.12     0.00      740     0.00     0.00  std::__cxx11::_List_base<std::unique_ptr<EventQueue::Event, std::default_delete<EventQueue::Event> >, std::allocator<std::unique_ptr<EventQueue::Event, std::default_delete<EventQueue::Event> > > >::_M_clear()
  0.00      0.12     0.00      737     0.00     0.09  ServiceLoop::Looper()
  0.00      0.12     0.00      735     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long)
  0.00      0.12     0.00      568     0.00     0.00  CmdTimer::~CmdTimer()
  0.00      0.12     0.00      501     0.00     0.00  ZlibUtility::CreateZPipeAlign(char const*, unsigned long, std::vector<char, std::allocator<char> >&, unsigned int&)
  0.00      0.12     0.00      468     0.00     0.00  HashNick(char const*, unsigned long)
  0.00      0.12     0.00      435     0.00     0.00  BanManager::FindRangeBanGeneric(unsigned char const*, long const&, unsigned char)
  0.00      0.12     0.00      435     0.00     0.00  LoginLogout::~LoginLogout()
  0.00      0.12     0.00      435     0.00     0.00  ServiceLoop::AcceptUser(ServiceLoop::AcceptedSocket*)
  0.00      0.12     0.00      435     0.00     0.00  ServiceLoop::AcceptSocket(int&, sockaddr_storage const&)
  0.00      0.12     0.00      435     0.00     0.00  ServiceLoop::loadProxyGuard()
  0.00      0.12     0.00      435     0.00     0.00  User::SetIP(char const*)
  0.00      0.12     0.00      435     0.00     0.00  User::MakeLock()
  0.00      0.12     0.00      435     0.00     0.00  User::User()
  0.00      0.12     0.00      435     0.00     0.00  User::~User()
  0.00      0.12     0.00      435     0.00     0.00  BanManager::FindIpBanGeneric(unsigned char const*, long const&, unsigned char) const
  0.00      0.12     0.00      423     0.00     0.00  std::_Hashtable<unsigned int, std::pair<unsigned int const, RegUser*>, std::allocator<std::pair<unsigned int const, RegUser*> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, false> >::equal_range(unsigned int const&)
  0.00      0.12     0.00      415     0.00     0.00  User::ProcessRules()
  0.00      0.12     0.00      413     0.00     0.00  DcCommands::MyINFODeflood(DcCommand*)
  0.00      0.12     0.00      413     0.00     0.00  DcCommands::MyINFO(DcCommand*)
  0.00      0.12     0.00      413     0.00     0.00  User::SetMyInfoOriginal(char const*, unsigned short)
  0.00      0.12     0.00      412     0.00     0.00  User::GenerateMyInfoLong()
  0.00      0.12     0.00      412     0.00     0.00  User::GenerateMyInfoShort()
  0.00      0.12     0.00      412     0.00     0.00  Users::Add2MyInfos(User*)
  0.00      0.12     0.00      412     0.00     0.00  Users::Add2MyInfosTag(User*)
  0.00      0.12     0.00      412     0.00     0.00  DBSQLite::SqlExec(char const*, char const*, int (*)(void*, int, char**, char**)) const
  0.00      0.12     0.00      411     0.00     0.06  DcCommands::ValidateNick(DcCommand*)
  0.00      0.12     0.00      411     0.00     0.05  DcCommands::ValidateUserNick(DcCommand*, User*, char const*, unsigned long, bool)
  0.00      0.12     0.00      411     0.00     0.00  DcCommands::Supports(DcCommand*)
  0.00      0.12     0.00      411     0.00     0.00  void spdlog::logger::log_<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, unsigned long, int>(spdlog::source_loc, spdlog::level::level_enum, fmt::v10::basic_string_view<char>, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, unsigned long&&, int&&)
